design_id,mission_id,wind_speed_kts,turbulence_index,success,failure_phase,failure_reason,rule_violation,total_time_s,time_takeoff_climb_s,time_loaded_cruise_s,time_drop_descent_s,time_drop_hover_s,time_post_drop_climb_s,time_empty_cruise_s,time_descent_landing_s,time_wing_deploy_s,energy_used_Wh,battery_energy_remaining_Wh,payload_to_aircraft_ratio,is_qualifying_run,is_4to1_qualifying,prize_tier,qualifying_score,max_power_requested_W,max_power_available_W,power_saturation_seconds,thermal_peak_C
DLIFT_67500b82b8,MSN_b564b3ae01,3.1849599573668677,0.18833612454904552,False,mission,propulsion_architecture_fault,propulsion_architecture_risk,1036.0,34.0,986.0,2.0,0.0,0.0,0.0,14.0,0.0,462.562313206454,622.9031117393841,2.3794133397569897,False,False,none,0.0,7352.621433002439,14585.41507401622,0.0,22.327574058493486
DLIFT_67500b82b8,MSN_234579afe9,2.5852977513963475,0.9701617696059315,True,,,,1305.0,41.0,969.0,36.0,1.0,31.0,194.0,33.0,0.0,582.4765318098054,505.04389023594894,2.3794133397569897,True,False,partial,2.3794133397569897,7920.277620649873,14585.41507401622,0.0,22.43868710410723
DLIFT_4d6ee8f330,MSN_94e83695d0,0.02835697867949072,0.6923855365126996,False,loaded_cruise,gust_induced_instability,,138.0,49.0,63.0,0.0,0.0,0.0,0.0,26.0,0.0,208.02752481664254,14051.98939680469,4.660922382059246,False,False,none,0.0,10151.845181574923,269438.1854362933,0.0,22.473998885796192
DLIFT_4d6ee8f330,MSN_e30038e7c3,22.419372539980504,0.116146754968529,True,,,,936.0,44.0,623.0,58.0,1.0,43.0,111.0,56.0,0.0,749.1529525061429,13508.914698206945,4.660922382059246,True,True,full,4.660922382059246,10005.012448162193,269438.1854362933,0.0,22.642488327261965
DLIFT_4d6ee8f330,MSN_cc8aafabe8,30.832463124062464,0.1823734601029114,False,mission,propulsion_architecture_fault,propulsion_architecture_risk,355.0,51.0,282.0,0.0,0.0,0.0,0.0,22.0,0.0,367.705901897477,13893.09072808716,4.660922382059246,False,False,none,0.0,10237.884388285724,269438.1854362933,0.0,22.512548111258603
DLIFT_4d6ee8f330,MSN_cb00dc2333,18.056539924474382,0.40838830539265114,True,,,,897.0,44.0,587.0,51.0,1.0,39.0,102.0,73.0,0.0,751.1494351380254,13506.91821557502,4.660922382059246,True,True,full,4.660922382059246,10189.228191908174,269438.1854362933,0.0,22.692065336743827
DLIFT_4d6ee8f330,MSN_e3921a6aa5,6.793023878553635,0.45152165184616105,True,,,,781.0,35.0,504.0,75.0,1.0,38.0,90.0,38.0,0.0,735.7717007546707,13518.787262323523,4.660922382059246,True,True,full,4.660922382059246,9824.512771596208,269438.1854362933,0.0,22.75580675511768
DLIFT_4d6ee8f330,MSN_44d1853b73,21.203936974374283,0.6180154101601348,True,,,,946.0,55.0,632.0,43.0,1.0,48.0,114.0,53.0,0.0,842.871947702363,13419.48409900892,4.660922382059246,True,True,full,4.660922382059246,10593.043281668704,269438.1854362933,0.0,22.706542981956158
DLIFT_4d6ee8f330,MSN_e281f08e2b,14.667519951809497,0.09704895766210897,True,,,,883.0,53.0,583.0,55.0,1.0,49.0,97.0,45.0,0.0,778.726222580241,13482.850115767736,4.660922382059246,True,True,full,4.660922382059246,9713.636085283304,269438.1854362933,0.0,22.683250107470883
DLIFT_4d6ee8f330,MSN_92346e28b0,11.940067021121624,1.3444108869499192,True,,,,792.0,45.0,522.0,46.0,1.0,52.0,90.0,36.0,0.0,771.6393330091494,13486.818171885589,4.660922382059246,True,True,full,4.660922382059246,11051.958745489517,269438.1854362933,0.0,22.82180572300083
